"ResponseID","word1","word2","word3","word4","word5","word6","word7","word8","word9","word10","word11","word12","word13","word14","word15","word16","word17","word18","word19","word20"
"R_0kSehKLLoL3xv01","Government","Dictatorship","Liberty","Socialism","Democrat","Politics","Republican","Communism","United States","Monarchy","","","","","","","","","",""
"R_eS6LiKkegUyQC8Z","freedom","equality","laws","government","elections","free speech","free religion","freedom to get an education","freedom to earn unlimited amount of money","","","","","","","","","","",""
"R_d6XGCjDbQV6RZxX","America","Freedom","Vote","Congress","President","Judicial","Free Markets","Constitution","","","","","","","","","","","",""
"R_1M5yUbquuH32CLb","one","togetherness","people","voting","rights","laws","helping","kindness","president","bills","codes","","","","","","","","",""
"R_1S08Ztk8hhYLwup","america","freedom","red white and blue","equality","social mobility","rights","","","","","","","","","","","","","",""
"R_eG5TktoitPavuWV","equality","voice","elections","leader","constituency","issues","voting","","","","","","","","","","","","",""
"R_1HomLmSNG7W8IgR","republic","USA","freedom","Greeks gave us democracy","vote","majority","","","","","","","","","","","","","",""
"R_bHoBIOn7jcc35w9","attempt to be fair","easily corrupt","hijacked","bad for the complacant","american ideal","western concept","isn't perfect, needs work","","","","","","","","","","","","",""
"R_enD9kQBa0K00RBX","Corruption ","No freedom ","Worthless ","Dishonesty ","Unruly ","","","","","","","","","","","","","","",""
"R_0CzRGOABNK7u4UB","United States","people","constitution","voting","fair","peaceful","reverent","nation","Washington D.C.","forefathers","President","Senate","Congress","","","","","","",""
"R_5vTMAITZoWqwy3z","politics","voting","voicing","obama","blue","","","","","","","","","","","","","","",""
"R_cwgJsE4NjWM4LUp","freedom","choice","voting","elections","USA","","","","","","","","","","","","","","",""
"R_bBMHjQOSkCGz5qt","democrats","republicans","independents","politics","voting","america","rights","laws","","","","","","","","","","","",""
"R_9WUIR6sYrYGtGaV","votes","legislature","politics","polls","president","ballot","veto","","","","","","","","","","","","",""
"R_0Pdnwi0xwdK9anj","freedom","west","Greek","voting","ballot","majority","","","","","","","","","","","","","",""
"R_ebzgFvgx8Wen4UZ","strong","weak","simple","complex","necessary","voting","choices","decisions","mean","kind","fair","unfair","interesting","old","new","power","society","government","lasting","problems"
"R_0Td0RLya54tb4RD","freedom of speech","freedom to buy products/consume","vote in elections","have separation of church and state","elect leaders to represent us","equal representation based on populus","living in capitalism","working hard","","","","","","","","","","","",""
"R_cMbk4KFISHIW8kZ","equality ","liberty","voting","representation","justice","accountability","","","","","","","","","","","","","",""
"R_cMiNBvSgpMTxB8p","voting","separation of power","peaceful","not corrupt","fairness","representative","","","","","","","","","","","","","",""
"R_0VubZSf90Mjgsnj","Equal","Voting","Rights","Freedom","Group","Connected","Team","","","","","","","","","","","","",""
"R_5thobQ39knos2gt","expensive campaigns","money related scandals","special interests","public voice","voting","","","","","","","","","","","","","","",""
"R_3WxuQScQ0IpgVo1","freedom","government by the people","representation","voting","elections","level playing field","majority rule","oversight","ballots","working together","collaboration","mutual benefits","","","","","","","",""
"R_4IrYSgMYI4tRQZ7","majority","freedom","fair","inclusive","open","representative","election","politics","government","meritocracy","","","","","","","","","",""
"R_87Yr1sTYgyVlOEB","broken system","people in charge","government for the people","freedom","citizens with rights","","","","","","","","","","","","","","",""
"R_1TjwPFeRD7wJHvv","government","politics","voting","direct","democratic republic","","","","","","","","","","","","","","",""
"R_1SoTZUFKPhFza8l","freedom","equality","liberty","justice","concensus","vote","election","","","","","","","","","","","","",""
"R_6KKRyCo01SvNEnH","freedom","United States","politics","liberties","ownership","Americans","Big Business","Super Power","United","","","","","","","","","","",""
"R_0CDvaHHGUmP1URD","freedom","election","representatives","voting","senate","government","by the people, for the people","independence","electoral college","senate","house of representatives","washington dc","the Capitol","the American flag","","","","","",""
"R_b7WG3UGLjTEuNeJ","equality","freedom","your voice matters","system","government","rules","chance to make a difference","","","","","","","","","","","","",""
"R_0Sw3QCm3wTUwnUV","freedom","justice","fairness","The people","voting","government","equality","right","","","","","","","","","","","",""
"R_6tnyUUeP23IAYgR","fair","prosperous","anti-corporatist","equal opportunity","civil rights","American Dream","anyone can suceed","Monopolies are illegal","voting rights","opportunity","justice","fair laws that protect the people","surveillance state would not be tolerated ","respect","continued job growth","","","","",""
"R_9zOmPZY0sSMpVNb","Freedom","Choice","Group","Thought","Responsibility","Security","Safety","","","","","","","","","","","","",""
